Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	DQF [-]	FQF [-]
2024-11-16T00:04:00.000Z	0.070	0.010	0.584522	1010000000100000	1
2024-11-16T00:04:00.000Z	0.080	0.010	0.463415	1010000000100000	1
2024-11-16T00:04:00.000Z	0.090	0.010	0.408625	1010000000100000	1
2024-11-16T00:04:00.000Z	0.100	0.010	0.368511	1010000000100000	1
2024-11-16T00:04:00.000Z	0.110	0.010	0.438146	1010000000100000	1
2024-11-16T00:04:00.000Z	0.120	0.010	0.983091	1010000000100000	1
2024-11-16T00:04:00.000Z	0.130	0.010	1.485173	1010000000100000	1
2024-11-16T00:04:00.000Z	0.140	0.010	4.761052	1010000000100000	1
2024-11-16T00:04:00.000Z	0.150	0.010	6.610116	1010000000100000	1
2024-11-16T00:04:00.000Z	0.160	0.010	5.762847	1010000000100000	1
2024-11-16T00:04:00.000Z	0.170	0.010	4.784358	1010000000100000	1
2024-11-16T00:04:00.000Z	0.180	0.010	2.649512	1010000000100000	1
2024-11-16T00:04:00.000Z	0.190	0.010	1.638106	1010000000100000	1
2024-11-16T00:04:00.000Z	0.200	0.010	0.501536	1010000000100000	1
2024-11-16T00:04:00.000Z	0.210	0.010	1.283603	1010000000100000	1
2024-11-16T00:04:00.000Z	0.220	0.010	1.594895	1010000000100000	1
2024-11-16T00:04:00.000Z	0.230	0.010	0.573039	1010000000100000	1
2024-11-16T00:04:00.000Z	0.240	0.010	0.518387	1010000000100000	1
2024-11-16T00:04:00.000Z	0.250	0.010	0.542499	1010000000100000	1
2024-11-16T00:04:00.000Z	0.260	0.010	0.531056	1010000000100000	1
2024-11-16T00:04:00.000Z	0.270	0.010	0.351272	1010000000100000	1
2024-11-16T00:04:00.000Z	0.280	0.010	0.132654	1010000000100000	1
2024-11-16T00:04:00.000Z	0.290	0.010	0.406039	1010000000100000	1
2024-11-16T00:04:00.000Z	0.300	0.010	0.330071	1010000000100000	1
2024-11-16T00:04:00.000Z	0.310	0.010	0.142349	1010000000100000	1
2024-11-16T00:04:00.000Z	0.320	0.010	0.198331	1010000000100000	1
2024-11-16T00:04:00.000Z	0.330	0.010	0.234962	1010000000100000	1
2024-11-16T00:04:00.000Z	0.340	0.010	0.102721	1010000000100000	1
2024-11-16T00:04:00.000Z	0.350	0.010	0.066135	1010000000100000	1
2024-11-16T00:04:00.000Z	0.360	0.010	0.065578	1010000000100000	1
2024-11-16T00:04:00.000Z	0.370	0.010	0.061901	1010000000100000	1
2024-11-16T00:04:00.000Z	0.380	0.010	0.131034	1010000000100000	1
2024-11-16T00:04:00.000Z	0.390	0.010	0.131308	1010000000100000	1
2024-11-16T00:04:00.000Z	0.400	0.010	0.048753	1010000000100000	1
2024-11-16T00:04:00.000Z	0.410	0.010	0.048813	1010000000100000	1
2024-11-16T00:04:00.000Z	0.420	0.010	0.076092	1010000000100000	1
2024-11-16T00:04:00.000Z	0.430	0.010	0.048709	1010000000100000	1
2024-11-16T00:04:00.000Z	0.440	0.010	0.025210	1010000000100000	1
2024-11-16T00:04:00.000Z	0.450	0.010	0.036559	1010000000100000	1
2024-11-16T00:04:00.000Z	0.460	0.010	0.050869	1010000000100000	1
2024-11-16T00:04:00.000Z	0.470	0.010	0.033197	1010000000100000	1
2024-11-16T00:04:00.000Z	0.480	0.010	0.041263	1010000000100000	1
2024-11-16T00:04:00.000Z	0.490	0.010	0.023162	1010000000100000	1
2024-11-16T00:04:00.000Z	0.500	0.005	0.018665	1010000000100000	1
2024-11-16T00:05:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2024-11-16T00:05:00.000Z	0.010	0.010	0.000661	1010000000100000	1
2024-11-16T00:05:00.000Z	0.020	0.010	0.001051	1010000000100000	1
2024-11-16T00:05:00.000Z	0.030	0.010	0.005825	1010000000100000	1
2024-11-16T00:05:00.000Z	0.040	0.010	0.012791	1010000000100000	1
2024-11-16T00:05:00.000Z	0.050	0.010	0.043623	1010000000100000	1
2024-11-16T00:05:00.000Z	0.060	0.010	0.373882	1010000000100000	1
2024-11-16T00:05:00.000Z	0.070	0.010	0.646863	1010000000100000	1
2024-11-16T00:05:00.000Z	0.080	0.010	0.469806	1010000000100000	1
2024-11-16T00:05:00.000Z	0.090	0.010	0.477919	1010000000100000	1
2024-11-16T00:05:00.000Z	0.100	0.010	0.299936	1010000000100000	1
2024-11-16T00:05:00.000Z	0.110	0.010	0.478218	1010000000100000	1
2024-11-16T00:05:00.000Z	0.120	0.010	1.038638	1010000000100000	1
2024-11-16T00:05:00.000Z	0.130	0.010	1.437674	1010000000100000	1
2024-11-16T00:05:00.000Z	0.140	0.010	6.444169	1010000000100000	1
2024-11-16T00:05:00.000Z	0.150	0.010	7.607481	1010000000100000	1
2024-11-16T00:05:00.000Z	0.160	0.010	4.625798	1010000000100000	1
2024-11-16T00:05:00.000Z	0.170	0.010	2.985468	1010000000100000	1
2024-11-16T00:05:00.000Z	0.180	0.010	2.327004	1010000000100000	1
2024-11-16T00:05:00.000Z	0.190	0.010	1.384189	1010000000100000	1
2024-11-16T00:05:00.000Z	0.200	0.010	0.912688	1010000000100000	1
2024-11-16T00:05:00.000Z	0.210	0.010	1.549698	1010000000100000	1
2024-11-16T00:05:00.000Z	0.220	0.010	1.397585	1010000000100000	1
2024-11-16T00:05:00.000Z	0.230	0.010	0.637625	1010000000100000	1
2024-11-16T00:05:00.000Z	0.240	0.010	0.440373	1010000000100000	1
2024-11-16T00:05:00.000Z	0.250	0.010	0.462392	1010000000100000	1
2024-11-16T00:05:00.000Z	0.260	0.010	0.492918	1010000000100000	1
2024-11-16T00:05:00.000Z	0.270	0.010	0.464518	1010000000100000	1
2024-11-16T00:05:00.000Z	0.280	0.010	0.283927	1010000000100000	1
2024-11-16T00:05:00.000Z	0.290	0.010	0.460326	1010000000100000	1
2024-11-16T00:05:00.000Z	0.300	0.010	0.191305	1010000000100000	1
2024-11-16T00:05:00.000Z	0.310	0.010	0.151579	1010000000100000	1
2024-11-16T00:05:00.000Z	0.320	0.010	0.171263	1010000000100000	1
2024-11-16T00:05:00.000Z	0.330	0.010	0.199911	1010000000100000	1
2024-11-16T00:05:00.000Z	0.340	0.010	0.087046	1010000000100000	1
2024-11-16T00:05:00.000Z	0.350	0.010	0.052171	1010000000100000	1
2024-11-16T00:05:00.000Z	0.360	0.010	0.059536	1010000000100000	1
2024-11-16T00:05:00.000Z	0.370	0.010	0.064706	1010000000100000	1
2024-11-16T00:05:00.000Z	0.380	0.010	0.122876	1010000000100000	1
2024-11-16T00:05:00.000Z	0.390	0.010	0.144312	1010000000100000	1
2024-11-16T00:05:00.000Z	0.400	0.010	0.073306	1010000000100000	1
2024-11-16T00:05:00.000Z	0.410	0.010	0.061535	1010000000100000	1
2024-11-16T00:05:00.000Z	0.420	0.010	0.077367	1010000000100000	1
2024-11-16T00:05:00.000Z	0.430	0.010	0.045521	1010000000100000	1
2024-11-16T00:05:00.000Z	0.440	0.010	0.042018	1010000000100000	1
2024-11-16T00:05:00.000Z	0.450	0.010	0.031119	1010000000100000	1
2024-11-16T00:05:00.000Z	0.460	0.010	0.032818	1010000000100000	1
2024-11-16T00:05:00.000Z	0.470	0.010	0.048114	1010000000100000	1
2024-11-16T00:05:00.000Z	0.480	0.010	0.035034	1010000000100000	1
2024-11-16T00:05:00.000Z	0.490	0.010	0.034897	1010000000100000	1
2024-11-16T00:05:00.000Z	0.500	0.005	0.020349	1010000000100000	1
2024-11-16T00:06:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2024-11-16T00:06:00.000Z	0.010	0.010	0.000307	1010000000100000	1
2024-11-16T00:06:00.000Z	0.020	0.010	0.001281	1010000000100000	1
2024-11-16T00:06:00.000Z	0.030	0.010	0.002323	1010000000100000	1
2024-11-16T00:06:00.000Z	0.040	0.010	0.009012	1010000000100000	1
2024-11-16T00:06:00.000Z	0.050	0.010	0.049710	1010000000100000	1
2024-11-16T00:06:00.000Z	0.060	0.010	0.224760	1010000000100000	1
2024-11-16T00:06:00.000Z	0.070	0.010	0.472650	1010000000100000	1
2024-11-16T00:06:00.000Z	0.080	0.010	0.574069	1010000000100000	1
2024-11-16T00:06:00.000Z	0.090	0.010	0.409734	1010000000100000	1
2024-11-16T00:06:00.000Z	0.100	0.010	0.304460	1010000000100000	1
2024-11-16T00:06:00.000Z	0.110	0.010	0.486369	1010000000100000	1
2024-11-16T00:06:00.000Z	0.120	0.010	0.956709	1010000000100000	1
2024-11-16T00:06:00.000Z	0.130	0.010	1.592872	1010000000100000	1
2024-11-16T00:06:00.000Z	0.140	0.010	7.042502	1010000000100000	1
2024-11-16T00:06:00.000Z	0.150	0.010	7.629221	1010000000100000	1
2024-11-16T00:06:00.000Z	0.160	0.010	3.658695	1010000000100000	1
2024-11-16T00:06:00.000Z	0.170	0.010	3.118750	1010000000100000	1
2024-11-16T00:06:00.000Z	0.180	0.010	2.090451	1010000000100000	1
2024-11-16T00:06:00.000Z	0.190	0.010	0.870341	1010000000100000	1
2024-11-16T00:06:00.000Z	0.200	0.010	0.956168	1010000000100000	1
2024-11-16T00:06:00.000Z	0.210	0.010	0.877239	1010000000100000	1
2024-11-16T00:06:00.000Z	0.220	0.010	0.956517	1010000000100000	1
2024-11-16T00:06:00.000Z	0.230	0.010	0.826438	1010000000100000	1
2024-11-16T00:06:00.000Z	0.240	0.010	0.548716	1010000000100000	1
2024-11-16T00:06:00.000Z	0.250	0.010	0.569854	1010000000100000	1
2024-11-16T00:06:00.000Z	0.260	0.010	0.444596	1010000000100000	1
2024-11-16T00:06:00.000Z	0.270	0.010	0.358842	1010000000100000	1
2024-11-16T00:06:00.000Z	0.280	0.010	0.287184	1010000000100000	1
2024-11-16T00:06:00.000Z	0.290	0.010	0.361184	1010000000100000	1
2024-11-16T00:06:00.000Z	0.300	0.010	0.231860	1010000000100000	1
2024-11-16T00:06:00.000Z	0.310	0.010	0.168527	1010000000100000	1
2024-11-16T00:06:00.000Z	0.320	0.010	0.125614	1010000000100000	1
2024-11-16T00:06:00.000Z	0.330	0.010	0.163891	1010000000100000	1
2024-11-16T00:06:00.000Z	0.340	0.010	0.083601	1010000000100000	1
2024-11-16T00:06:00.000Z	0.350	0.010	0.067322	1010000000100000	1
2024-11-16T00:06:00.000Z	0.360	0.010	0.069231	1010000000100000	1
2024-11-16T00:06:00.000Z	0.370	0.010	0.075917	1010000000100000	1
2024-11-16T00:06:00.000Z	0.380	0.010	0.110103	1010000000100000	1
2024-11-16T00:06:00.000Z	0.390	0.010	0.114372	1010000000100000	1
2024-11-16T00:06:00.000Z	0.400	0.010	0.077148	1010000000100000	1
2024-11-16T00:06:00.000Z	0.410	0.010	0.071391	1010000000100000	1
2024-11-16T00:06:00.000Z	0.420	0.010	0.064549	1010000000100000	1
2024-11-16T00:06:00.000Z	0.430	0.010	0.053311	1010000000100000	1
2024-11-16T00:06:00.000Z	0.440	0.010	0.035053	1010000000100000	1
2024-11-16T00:06:00.000Z	0.450	0.010	0.041813	1010000000100000	1
