Time	heave [m]	DQF [-]	FQF [-]
2024-11-16T00:15:14.172Z	 0.4083	1011111110000000	1
2024-11-16T00:15:14.562Z	 0.6728	1011111110000000	1
2024-11-16T00:15:14.952Z	 0.4615	1011111110000000	1
2024-11-16T00:15:15.342Z	 0.2105	1011111110000000	1
2024-11-16T00:15:15.732Z	 0.3067	1011111110000000	1
2024-11-16T00:15:16.122Z	 0.6281	1011111110000000	1
2024-11-16T00:15:16.512Z	 0.7516	1011111110000000	1
2024-11-16T00:15:16.902Z	 0.9307	1011111110000000	1
2024-11-16T00:15:17.292Z	 0.9020	1011111110000000	1
2024-11-16T00:15:17.683Z	 0.2534	1011111110000000	1
2024-11-16T00:15:18.073Z	 0.2718	1011111110000000	1
2024-11-16T00:15:18.463Z	 0.0699	1011111110000000	1
2024-11-16T00:15:18.853Z	-0.2134	1011111110000000	1
2024-11-16T00:15:19.243Z	-0.7642	1011111110000000	1
2024-11-16T00:15:19.633Z	-1.1351	1011111110000000	1
2024-11-16T00:15:20.023Z	-1.5992	1011111110000000	1
2024-11-16T00:15:20.413Z	-1.4630	1011111110000000	1
2024-11-16T00:15:20.803Z	-1.0155	1011111110000000	1
2024-11-16T00:15:21.193Z	-0.2665	1011111110000000	1
2024-11-16T00:15:21.583Z	 0.2987	1011111110000000	1
2024-11-16T00:15:21.973Z	 0.4899	1011111110000000	1
2024-11-16T00:15:22.363Z	 0.6914	1011111110000000	1
2024-11-16T00:15:22.753Z	 0.7114	1011111110000000	1
2024-11-16T00:15:23.143Z	 1.0240	1011111110000000	1
2024-11-16T00:15:23.533Z	 1.1210	1011111110000000	1
2024-11-16T00:15:23.923Z	 0.9638	1011111110000000	1
2024-11-16T00:15:24.313Z	 0.3514	1011111110000000	1
2024-11-16T00:15:24.703Z	-0.0511	1011111110000000	1
2024-11-16T00:15:25.093Z	-0.5844	1011111110000000	1
2024-11-16T00:15:25.483Z	-0.5195	1011111110000000	1
2024-11-16T00:15:25.873Z	-0.4862	1011111110000000	1
2024-11-16T00:15:26.263Z	-0.6525	1011111110000000	1
2024-11-16T00:15:26.653Z	-0.5919	1011111110000000	1
2024-11-16T00:15:27.043Z	-0.1608	1011111110000000	1
2024-11-16T00:15:27.433Z	 0.0912	1011111110000000	1
2024-11-16T00:15:27.823Z	 0.2561	1011111110000000	1
2024-11-16T00:15:28.213Z	 0.2521	1011111110000000	1
2024-11-16T00:15:28.603Z	 0.3583	1011111110000000	1
2024-11-16T00:15:28.993Z	 0.6880	1011111110000000	1
2024-11-16T00:15:29.383Z	 1.2550	1011111110000000	1
2024-11-16T00:15:29.773Z	 1.3270	1011111110000000	1
2024-11-16T00:15:30.163Z	 1.1692	1011111110000000	1
2024-11-16T00:15:30.553Z	 1.1039	1011111110000000	1
2024-11-16T00:15:30.943Z	 0.8158	1011111110000000	1
2024-11-16T00:15:31.333Z	 0.1596	1011111110000000	1
2024-11-16T00:15:31.723Z	-0.2911	1011111110000000	1
2024-11-16T00:15:32.113Z	-1.0676	1011111110000000	1
2024-11-16T00:15:32.504Z	-1.2820	1011111110000000	1
2024-11-16T00:15:32.894Z	-1.5207	1011111110000000	1
2024-11-16T00:15:33.284Z	-1.5850	1011111110000000	1
2024-11-16T00:15:33.674Z	-1.4591	1011111110000000	1
2024-11-16T00:15:34.064Z	-1.1315	1011111110000000	1
2024-11-16T00:15:34.454Z	-0.5706	1011111110000000	1
2024-11-16T00:15:34.844Z	-0.0538	1011111110000000	1
2024-11-16T00:15:35.234Z	 0.3695	1011111110000000	1
2024-11-16T00:15:35.624Z	 0.8926	1011111110000000	1
2024-11-16T00:15:36.014Z	 1.4684	1011111110000000	1
2024-11-16T00:15:36.404Z	 1.8655	1011111110000000	1
2024-11-16T00:15:36.794Z	 2.1137	1011111110000000	1
2024-11-16T00:15:37.184Z	 2.1040	1011111110000000	1
2024-11-16T00:15:37.574Z	 1.3123	1011111110000000	1
2024-11-16T00:15:37.964Z	 0.2828	1011111110000000	1
2024-11-16T00:15:38.354Z	-0.3008	1011111110000000	1
2024-11-16T00:15:38.744Z	-0.7589	1011111110000000	1
2024-11-16T00:15:39.134Z	-1.2291	1011111110000000	1
2024-11-16T00:15:39.524Z	-1.3434	1011111110000000	1
2024-11-16T00:15:39.914Z	-1.0511	1011111110000000	1
2024-11-16T00:15:40.304Z	-0.8441	1011111110000000	1
2024-11-16T00:15:40.694Z	-0.4479	1011111110000000	1
2024-11-16T00:15:41.084Z	-0.1464	1011111110000000	1
2024-11-16T00:15:41.474Z	 0.1869	1011111110000000	1
2024-11-16T00:15:41.864Z	 0.3832	1011111110000000	1
2024-11-16T00:15:42.254Z	 0.3190	1011111110000000	1
2024-11-16T00:15:42.644Z	 0.5106	1011111110000000	1
2024-11-16T00:15:43.034Z	 0.7697	1011111110000000	1
2024-11-16T00:15:43.424Z	 1.1409	1011111110000000	1
2024-11-16T00:15:43.814Z	 0.9442	1011111110000000	1
2024-11-16T00:15:44.204Z	 0.6901	1011111110000000	1
2024-11-16T00:15:44.594Z	 0.0196	1011111110000000	1
2024-11-16T00:15:44.984Z	-0.2866	1011111110000000	1
2024-11-16T00:15:45.374Z	-0.6694	1011111110000000	1
2024-11-16T00:15:45.764Z	-0.8998	1011111110000000	1
2024-11-16T00:15:46.154Z	-0.8736	1011111110000000	1
2024-11-16T00:15:46.544Z	-0.9611	1011111110000000	1
2024-11-16T00:15:46.935Z	-0.6425	1011111110000000	1
2024-11-16T00:15:47.325Z	 0.3415	1011111110000000	1
2024-11-16T00:15:47.715Z	 1.1232	1011111110000000	1
2024-11-16T00:15:48.105Z	 1.2885	1011111110000000	1
2024-11-16T00:15:48.495Z	 1.4643	1011111110000000	1
2024-11-16T00:15:48.885Z	 0.4765	1011111110000000	1
2024-11-16T00:15:49.275Z	-0.2047	1011111110000000	1
2024-11-16T00:15:49.665Z	-0.2845	1011111110000000	1
2024-11-16T00:15:50.055Z	-0.2265	1011111110000000	1
2024-11-16T00:15:50.445Z	 0.0219	1011111110000000	1
2024-11-16T00:15:50.835Z	 0.3181	1011111110000000	1
2024-11-16T00:15:51.225Z	 0.2824	1011111110000000	1
2024-11-16T00:15:51.615Z	 0.1204	1011111110000000	1
2024-11-16T00:15:52.005Z	-0.1203	1011111110000000	1
2024-11-16T00:15:52.395Z	-0.2080	1011111110000000	1
2024-11-16T00:15:52.785Z	-0.0052	1011111110000000	1
2024-11-16T00:15:53.175Z	 0.2609	1011111110000000	1
2024-11-16T00:15:53.565Z	 0.3029	1011111110000000	1
2024-11-16T00:15:53.955Z	 0.3302	1011111110000000	1
2024-11-16T00:15:54.345Z	 0.2336	1011111110000000	1
2024-11-16T00:15:54.735Z	 0.2067	1011111110000000	1
2024-11-16T00:15:55.125Z	-0.0250	1011111110000000	1
2024-11-16T00:15:55.515Z	-0.4022	1011111110000000	1
2024-11-16T00:15:55.905Z	-0.5090	1011111110000000	1
2024-11-16T00:15:56.295Z	-0.6212	1011111110000000	1
2024-11-16T00:15:56.685Z	-0.6422	1011111110000000	1
2024-11-16T00:15:57.075Z	-0.4621	1011111110000000	1
2024-11-16T00:15:57.465Z	-0.2471	1011111110000000	1
2024-11-16T00:15:57.855Z	 0.1316	1011111110000000	1
2024-11-16T00:15:58.245Z	 0.4810	1011111110000000	1
2024-11-16T00:15:58.635Z	 0.4873	1011111110000000	1
2024-11-16T00:15:59.025Z	 0.4281	1011111110000000	1
2024-11-16T00:15:59.415Z	 0.4505	1011111110000000	1
2024-11-16T00:15:59.805Z	 0.3501	1011111110000000	1
2024-11-16T00:16:00.195Z	 0.1951	1011111110000000	1
2024-11-16T00:16:00.585Z	 0.0933	1011111110000000	1
2024-11-16T00:16:00.975Z	-0.2720	1011111110000000	1
2024-11-16T00:16:01.366Z	 0.0496	1011111110000000	1
2024-11-16T00:16:01.756Z	 0.3679	1011111110000000	1
2024-11-16T00:16:02.146Z	 0.4170	1011111110000000	1
2024-11-16T00:16:02.536Z	 0.2135	1011111110000000	1
2024-11-16T00:16:02.926Z	 0.3464	1011111110000000	1
2024-11-16T00:16:03.316Z	 0.1263	1011111110000000	1
2024-11-16T00:16:03.706Z	-0.0029	1011111110000000	1
2024-11-16T00:16:04.096Z	-0.1427	1011111110000000	1
2024-11-16T00:16:04.486Z	-0.0364	1011111110000000	1
2024-11-16T00:16:04.876Z	-0.0649	1011111110000000	1
2024-11-16T00:16:05.266Z	-0.1431	1011111110000000	1
2024-11-16T00:16:05.656Z	-0.0787	1011111110000000	1
2024-11-16T00:16:06.046Z	 0.3257	1011111110000000	1
2024-11-16T00:16:06.436Z	 0.4906	1011111110000000	1
2024-11-16T00:16:06.826Z	 0.3167	1011111110000000	1
2024-11-16T00:16:07.216Z	 0.2216	1011111110000000	1
2024-11-16T00:16:07.606Z	-0.0999	1011111110000000	1
2024-11-16T00:16:07.996Z	-0.1561	1011111110000000	1
2024-11-16T00:16:08.386Z	-0.2521	1011111110000000	1
2024-11-16T00:16:08.776Z	-0.0698	1011111110000000	1
2024-11-16T00:16:09.166Z	 0.0070	1011111110000000	1
2024-11-16T00:16:09.556Z	 0.0728	1011111110000000	1
2024-11-16T00:16:09.946Z	 0.0402	1011111110000000	1
2024-11-16T00:16:10.336Z	-0.1641	1011111110000000	1
2024-11-16T00:16:10.726Z	-0.3573	1011111110000000	1
2024-11-16T00:16:11.116Z	-0.4310	1011111110000000	1
2024-11-16T00:16:11.506Z	-0.4763	1011111110000000	1
2024-11-16T00:16:11.896Z	-0.4327	1011111110000000	1
2024-11-16T00:16:12.286Z	-0.0788	1011111110000000	1
2024-11-16T00:16:12.676Z	 0.3855	1011111110000000	1
2024-11-16T00:16:13.066Z	 0.6036	1011111110000000	1
2024-11-16T00:16:13.456Z	 0.6277	1011111110000000	1
2024-11-16T00:16:13.846Z	 0.4979	1011111110000000	1
