Time	heave [m]	north [m]	west [m]	status [-]	despiked [m]	DQF [-]	FQF [-]
2020-09-01T00:02:01.041Z	 0.0500	-0.0100	 0.0000	0	 0.0500	1011111111000000	1
2020-09-01T00:02:01.822Z	 0.1300	 0.0300	 0.1500	0	 0.1300	1011111111000000	1
2020-09-01T00:02:02.603Z	 0.0900	-0.0500	 0.1100	0	 0.0900	1011111111000000	1
2020-09-01T00:02:03.384Z	-0.0900	-0.2000	-0.0100	0	-0.0900	1011111111000000	1
2020-09-01T00:02:04.165Z	-0.2800	-0.0200	-0.2100	0	-0.2800	1011111111000000	1
2020-09-01T00:02:04.946Z	-0.1200	 0.2500	-0.2000	0	-0.1200	1011111111000000	1
2020-09-01T00:02:05.727Z	 0.2400	 0.1200	-0.0700	0	 0.2400	1011111111000000	1
2020-09-01T00:02:06.508Z	 0.2300	-0.0900	-0.1100	0	 0.2300	1011111111000000	1
2020-09-01T00:02:07.288Z	-0.0200	-0.0100	-0.1500	0	-0.0200	1011111111000000	1
2020-09-01T00:02:08.069Z	-0.1100	 0.1800	 0.0000	0	-0.1100	1011111111000000	1
2020-09-01T00:02:08.850Z	-0.0600	 0.0900	-0.0500	0	-0.0600	1011111111000000	1
2020-09-01T00:02:09.631Z	-0.0700	 0.0600	-0.3300	0	-0.0700	1011111111000000	1
2020-09-01T00:02:10.412Z	 0.0400	 0.1800	-0.1600	0	 0.0400	1011111111000000	1
2020-09-01T00:02:11.193Z	-0.0200	 0.1600	 0.0200	0	-0.0200	1011111111000000	1
2020-09-01T00:02:11.974Z	-0.2100	 0.2000	-0.1800	0	-0.2100	1011111111000000	1
2020-09-01T00:02:12.755Z	 0.0700	 0.2600	-0.1100	0	 0.0700	1011111111000000	1
2020-09-01T00:02:13.536Z	 0.3300	 0.0800	 0.1700	0	 0.3300	1011111111000000	1
2020-09-01T00:02:14.317Z	 0.0300	-0.0200	 0.2100	0	 0.0300	1011111111000000	1
2020-09-01T00:02:15.098Z	-0.2800	 0.1600	 0.2500	0	-0.2800	1011111111000000	1
2020-09-01T00:02:15.879Z	-0.1500	 0.3200	-0.1000	0	-0.1500	1011111111000000	1
2020-09-01T00:02:16.659Z	 0.2000	 0.1400	-0.0200	0	 0.2000	1011111111000000	1
2020-09-01T00:02:17.440Z	 0.0700	-0.1400	 0.3700	0	 0.0700	1011111111000000	1
2020-09-01T00:02:18.221Z	-0.3100	 0.0500	 0.3200	0	-0.3100	1011111111000000	1
2020-09-01T00:02:19.002Z	 0.0000	 0.3300	 0.2500	0	 0.0000	1011111111000000	1
2020-09-01T00:02:19.783Z	 0.4900	-0.0700	 0.2700	0	 0.4900	1011111111000000	1
2020-09-01T00:02:20.564Z	 0.0800	-0.5300	 0.3600	0	 0.0800	1011111111000000	1
2020-09-01T00:02:21.345Z	-0.3600	-0.3700	 0.2000	0	-0.3600	1011111111000000	1
2020-09-01T00:02:22.126Z	-0.2400	 0.0100	 0.0600	0	-0.2400	1011111111000000	1
2020-09-01T00:02:22.907Z	 0.1300	 0.1600	-0.0100	0	 0.1300	1011111111000000	1
2020-09-01T00:02:23.688Z	 0.4400	-0.3200	-0.0500	0	 0.4400	1011111111000000	1
2020-09-01T00:02:24.469Z	-0.1100	-0.5600	-0.1500	0	-0.1100	1011111111000000	1
2020-09-01T00:02:25.249Z	-0.2300	-0.1100	-0.3300	0	-0.2300	1011111111000000	1
2020-09-01T00:02:26.030Z	 0.1800	 0.0300	-0.1400	0	 0.1800	1011111111000000	1
2020-09-01T00:02:26.811Z	-0.0900	-0.0100	-0.1700	0	-0.0900	1011111111000000	1
2020-09-01T00:02:27.592Z	-0.0400	-0.1500	-0.4500	0	-0.0400	1011111111000000	1
2020-09-01T00:02:28.373Z	-0.1500	-0.1200	-0.3500	0	-0.1500	1011111111000000	1
2020-09-01T00:02:29.154Z	-0.0200	 0.2400	-0.2500	0	-0.0200	1011111111000000	1
2020-09-01T00:02:29.935Z	 0.3600	 0.1000	-0.1800	0	 0.3600	1011111111000000	1
2020-09-01T00:02:30.716Z	 0.0600	-0.2900	-0.0300	0	 0.0600	1011111111000000	1
2020-09-01T00:02:31.497Z	-0.3200	-0.0500	 0.1000	0	-0.3200	1011111111000000	1
2020-09-01T00:02:32.278Z	 0.0600	 0.2200	-0.1900	0	 0.0600	1011111111000000	1
2020-09-01T00:02:33.059Z	 0.2100	-0.0200	 0.0200	0	 0.2100	1011111111000000	1
2020-09-01T00:02:33.839Z	-0.2800	 0.0000	 0.2600	0	-0.2800	1011111111000000	1
2020-09-01T00:02:34.620Z	-0.0600	 0.1300	-0.0700	0	-0.0600	1011111111000000	1
2020-09-01T00:02:35.401Z	 0.2200	 0.0300	 0.0300	0	 0.2200	1011111111000000	1
2020-09-01T00:02:36.182Z	-0.0200	 0.0200	 0.1500	0	-0.0200	1011111111000000	1
2020-09-01T00:02:36.963Z	-0.0400	 0.1300	 0.2200	0	-0.0400	1011111111000000	1
2020-09-01T00:02:37.744Z	 0.0400	-0.0200	 0.2000	0	 0.0400	1011111111000000	1
2020-09-01T00:02:38.525Z	-0.1200	 0.0200	 0.0000	0	-0.1200	1011111111000000	1
2020-09-01T00:02:39.306Z	-0.0100	 0.1600	 0.0200	0	-0.0100	1011111111000000	1
2020-09-01T00:02:40.087Z	-0.0900	 0.2200	 0.2800	0	-0.0900	1011111111000000	1
2020-09-01T00:02:40.868Z	 0.1500	 0.1900	 0.2000	0	 0.1500	1011111111000000	1
2020-09-01T00:02:41.649Z	 0.0000	 0.0200	 0.0000	0	 0.0000	1011111111000000	1
2020-09-01T00:02:42.429Z	-0.1000	 0.0800	-0.0800	0	-0.1000	1011111111000000	1
2020-09-01T00:02:43.210Z	-0.1000	 0.2300	-0.0100	0	-0.1000	1011111111000000	1
2020-09-01T00:02:43.991Z	 0.0200	 0.3100	 0.1000	0	 0.0200	1011111111000000	1
2020-09-01T00:02:44.772Z	 0.3300	-0.0100	 0.2400	0	 0.3300	1011111111000000	1
2020-09-01T00:02:45.553Z	-0.0200	-0.1300	 0.0400	0	-0.0200	1011111111000000	1
2020-09-01T00:02:46.334Z	-0.1600	-0.0600	-0.2300	0	-0.1600	1011111111000000	1
2020-09-01T00:02:47.115Z	-0.2800	 0.0700	-0.0900	0	-0.2800	1011111111000000	1
2020-09-01T00:02:47.896Z	 0.2400	 0.1200	 0.0400	0	 0.2400	1011111111000000	1
2020-09-01T00:02:48.677Z	 0.2800	-0.3200	-0.0800	0	 0.2800	1011111111000000	1
2020-09-01T00:02:49.458Z	-0.1700	-0.3800	-0.2000	0	-0.1700	1011111111000000	1
2020-09-01T00:02:50.239Z	 0.0400	-0.1400	-0.0200	0	 0.0400	1011111111000000	1
2020-09-01T00:02:51.019Z	 0.1500	-0.2600	-0.0500	0	 0.1500	1011111111000000	1
2020-09-01T00:02:51.800Z	-0.1200	-0.3400	-0.0100	0	-0.1200	1011111111000000	1
2020-09-01T00:02:52.581Z	-0.1800	-0.1900	-0.0900	0	-0.1800	1011111111000000	1
2020-09-01T00:02:53.362Z	-0.0900	 0.0500	-0.1700	0	-0.0900	1011111111000000	1
2020-09-01T00:02:54.143Z	 0.0400	 0.1200	-0.1500	0	 0.0400	1011111111000000	1
2020-09-01T00:02:54.924Z	 0.3700	 0.0400	-0.0100	0	 0.3700	1011111111000000	1
2020-09-01T00:02:55.705Z	 0.0800	-0.2300	 0.1200	0	 0.0800	1011111111000000	1
2020-09-01T00:02:56.486Z	-0.3700	 0.0200	 0.0400	0	-0.3700	1011111111000000	1
2020-09-01T00:02:57.267Z	-0.1000	 0.3300	 0.0300	0	-0.1000	1011111111000000	1
2020-09-01T00:02:58.048Z	 0.0400	 0.1800	-0.0200	0	 0.0400	1011111111000000	1
2020-09-01T00:02:58.829Z	 0.2000	-0.0200	-0.0500	0	 0.2000	1011111111000000	1
2020-09-01T00:02:59.610Z	-0.0400	-0.1400	 0.0000	0	-0.0400	1011111111000000	1
2020-09-01T00:03:00.390Z	-0.2800	 0.2800	 0.0500	0	-0.2800	1011111111000000	1
2020-09-01T00:03:01.171Z	 0.2300	 0.1800	 0.0500	0	 0.2300	1011111111000000	1
2020-09-01T00:03:01.952Z	 0.2000	-0.2900	 0.1300	0	 0.2000	1011111111000000	1
2020-09-01T00:03:02.733Z	-0.1800	-0.2100	 0.1500	0	-0.1800	1011111111000000	1
2020-09-01T00:03:03.514Z	-0.2900	 0.1300	 0.0500	0	-0.2900	1011111111000000	1
2020-09-01T00:03:04.295Z	 0.1800	 0.1200	-0.0800	0	 0.1800	1011111111000000	1
2020-09-01T00:03:05.076Z	 0.2800	-0.2200	-0.0400	0	 0.2800	1011111111000000	1
2020-09-01T00:03:05.857Z	-0.1000	-0.2500	 0.0000	0	-0.1000	1011111111000000	1
2020-09-01T00:03:06.638Z	-0.2000	 0.0500	 0.0600	0	-0.2000	1011111111000000	1
2020-09-01T00:03:07.419Z	 0.0100	 0.2000	-0.0600	0	 0.0100	1011111111000000	1
2020-09-01T00:03:08.200Z	 0.1100	 0.1500	-0.1800	0	 0.1100	1011111111000000	1
2020-09-01T00:03:08.980Z	-0.0800	 0.0600	-0.3100	0	-0.0800	1011111111000000	1
2020-09-01T00:03:09.761Z	-0.0300	 0.1500	-0.2300	0	-0.0300	1011111111000000	1
2020-09-01T00:03:10.542Z	-0.1000	 0.3400	 0.0600	0	-0.1000	1011111111000000	1
2020-09-01T00:03:11.323Z	-0.1000	 0.4300	-0.0100	0	-0.1000	1011111111000000	1
2020-09-01T00:03:12.104Z	 0.3800	 0.1300	-0.0300	0	 0.3800	1011111111000000	1
2020-09-01T00:03:12.885Z	 0.1800	-0.1900	 0.2000	0	 0.1800	1011111111000000	1
2020-09-01T00:03:13.666Z	-0.4300	 0.1000	 0.3700	0	-0.4300	1011111111000000	1
2020-09-01T00:03:14.447Z	-0.2100	 0.2900	 0.4100	0	-0.2100	1011111111000000	1
2020-09-01T00:03:15.228Z	 0.4900	-0.1300	 0.3100	0	 0.4900	1011111111000000	1
2020-09-01T00:03:16.009Z	 0.1400	-0.4800	 0.0500	0	 0.1400	1011111111000000	1
2020-09-01T00:03:16.790Z	-0.3200	-0.1300	 0.1300	0	-0.3200	1011111111000000	1
2020-09-01T00:03:17.570Z	 0.0500	-0.0500	 0.2500	0	 0.0500	1011111111000000	1
2020-09-01T00:03:18.351Z	 0.0900	-0.3900	-0.0300	0	 0.0900	1011111111000000	1
2020-09-01T00:03:19.132Z	-0.0200	-0.4100	-0.2000	0	-0.0200	1011111111000000	1
2020-09-01T00:03:19.913Z	 0.0000	-0.1200	-0.0900	0	 0.0000	1011111111000000	1
2020-09-01T00:03:20.694Z	-0.0500	-0.0400	-0.0800	0	-0.0500	1011111111000000	1
2020-09-01T00:03:21.475Z	-0.0600	-0.0400	-0.1300	0	-0.0600	1011111111000000	1
